Cloth Mythic+ Dungeon Pool — Hero & Myth Upgrade Stats,,,,,,,,
,,,,,,,,
Track rank,Item level,,Methodology,,,,,
Crackling Jade Kilij,160216,"79 - 133 Damage
Speed 2.60
(40.8 damage per second)
+419 Intellect
+1,397 Stamina
+52 Critical Strike
+37 Mastery","82 - 137 Damage
Speed 2.60
(42.1 damage per second)
+431 Intellect
+1,448 Stamina
+53 Critical Strike
+37 Mastery","84 - 141 Damage
Speed 2.60
(43.3 damage per second)
+443 Intellect
+1,501 Stamina
+53 Critical Strike
+38 Mastery","87 - 146 Damage
Speed 2.60
(44.8 damage per second)
+460 Intellect
+1,572 Stamina
+54 Critical Strike
+38 Mastery","90 - 150 Damage
Speed 2.60
(46.2 damage per second)
+473 Intellect
+1,627 Stamina
+55 Critical Strike
+39 Mastery","92 - 154 Damage
Speed 2.60
(47.3 damage per second)
+486 Intellect
+1,684 Stamina
+56 Critical Strike
+39 Mastery",https://www.wowhead.com/item=160216
Doompetal,251199,"55 - 92 Damage
Speed 1.80
(40.8 damage per second)
+419 Intellect
+1,397 Stamina
+54 Mastery
+35 Haste","56 - 95 Damage
Speed 1.80
(41.9 damage per second)
+431 Intellect
+1,448 Stamina
+55 Mastery
+35 Haste","58 - 97 Damage
Speed 1.80
(43.1 damage per second)
+443 Intellect
+1,501 Stamina
+55 Mastery
+36 Haste","60 - 101 Damage
Speed 1.80
(44.7 damage per second)
+460 Intellect
+1,572 Stamina
+56 Mastery
+36 Haste","62 - 104 Damage
Speed 1.80
(46.1 damage per second)
+473 Intellect
+1,627 Stamina
+57 Mastery
+37 Haste","64 - 107 Damage
Speed 1.80
(47.5 damage per second)
+486 Intellect
+1,684 Stamina
+58 Mastery
+37 Haste",https://www.wowhead.com/item=251199
Down-Lined Breeches,159320,"77 Armor
+144 Intellect
+2,794 Stamina
+81 Versatility
+96 Mastery","79 Armor
+148 Intellect
+2,896 Stamina
+82 Versatility
+98 Mastery","80 Armor
+152 Intellect
+3,002 Stamina
+83 Versatility
+99 Mastery","82 Armor
+158 Intellect
+3,143 Stamina
+85 Versatility
+101 Mastery","84 Armor
+162 Intellect
+3,254 Stamina
+86 Versatility
+102 Mastery","85 Armor
+167 Intellect
+3,369 Stamina
+87 Versatility
+103 Mastery",https://www.wowhead.com/item=159320
Ethereal Netherwrap,251228,"50 Armor
+108 Intellect
+2,096 Stamina
+87 Versatility
+47 Mastery","51 Armor
+111 Intellect
+2,172 Stamina
+88 Versatility
+47 Mastery","52 Armor
+114 Intellect
+2,252 Stamina
+89 Versatility
+48 Mastery","53 Armor
+118 Intellect
+2,358 Stamina
+90 Versatility
+49 Mastery","55 Armor
+122 Intellect
+2,440 Stamina
+92 Versatility
+49 Mastery","56 Armor
+125 Intellect
+2,527 Stamina
+93 Versatility
+50 Mastery",https://www.wowhead.com/item=251228
Fallen Speaker's Staff,251160,"124 - 186 Damage
Speed 3.60
(43.1 damage per second)
+838 Intellect
+2,794 Stamina
+104 Haste
+74 Versatility","128 - 192 Damage
Speed 3.60
(44.3 damage per second)
+862 Intellect
+2,896 Stamina
+105 Haste
+75 Versatility","131 - 197 Damage
Speed 3.60
(45.6 damage per second)
+886 Intellect
+3,002 Stamina
+107 Haste
+76 Versatility","136 - 205 Damage
Speed 3.60
(47.4 damage per second)
+920 Intellect
+3,143 Stamina
+109 Haste
+77 Versatility","140 - 211 Damage
Speed 3.60
(48.7 damage per second)
+946 Intellect
+3,254 Stamina
+110 Haste
+78 Versatility","144 - 217 Damage
Speed 3.60
(50.1 damage per second)
+972 Intellect
+3,369 Stamina
+112 Haste
+79 Versatility",https://www.wowhead.com/item=251160
Fang of Contagion,251225,"55 - 92 Damage
Speed 1.80
(40.8 damage per second)
+419 Intellect
+1,397 Stamina
+37 Versatility
+52 Mastery","56 - 95 Damage
Speed 1.80
(41.9 damage per second)
+431 Intellect
+1,448 Stamina
+37 Versatility
+53 Mastery","58 - 97 Damage
Speed 1.80
(43.1 damage per second)
+443 Intellect
+1,501 Stamina
+38 Versatility
+53 Mastery","60 - 101 Damage
Speed 1.80
(44.7 damage per second)
+460 Intellect
+1,572 Stamina
+38 Versatility
+54 Mastery","62 - 104 Damage
Speed 1.80
(46.1 damage per second)
+473 Intellect
+1,627 Stamina
+39 Versatility
+55 Mastery","64 - 107 Damage
Speed 1.80
(47.5 damage per second)
+486 Intellect
+1,684 Stamina
+39 Versatility
+56 Mastery",https://www.wowhead.com/item=251225
Fireproof Drape,193763,"65 Armor
+81 [Agility or Strength or Intellect]
+1,572 Stamina
+37 Critical Strike
+63 Haste","66 Armor
+83 [Agility or Strength or Intellect]
+1,629 Stamina
+38 Critical Strike
+64 Haste","67 Armor
+86 [Agility or Strength or Intellect]
+1,689 Stamina
+38 Critical Strike
+64 Haste","69 Armor
+89 [Agility or Strength or Intellect]
+1,768 Stamina
+39 Critical Strike
+66 Haste","70 Armor
+91 [Agility or Strength or Intellect]
+1,830 Stamina
+39 Critical Strike
+66 Haste","72 Armor
+94 [Agility or Strength or Intellect]
+1,895 Stamina
+40 Critical Strike
+67 Haste",https://www.wowhead.com/item=193763
Forest Dream Leg-guards,251156,"77 Armor
+144 Intellect
+2,794 Stamina
+112 Versatility
+66 Mastery","79 Armor
+148 Intellect
+2,896 Stamina
+113 Versatility
+67 Mastery","80 Armor
+152 Intellect
+3,002 Stamina
+115 Versatility
+68 Mastery","82 Armor
+158 Intellect
+3,143 Stamina
+117 Versatility
+69 Mastery","84 Armor
+162 Intellect
+3,254 Stamina
+118 Versatility
+70 Mastery","85 Armor
+167 Intellect
+3,369 Stamina
+120 Versatility
+71 Mastery",https://www.wowhead.com/item=251156
Freightrunner's Flask,250215,"+137 [Agility or Intellect]
Use: Take a sip of the drink you swiped from the freight, increasing your Critical Strike by 609 for 15 sec. (1 Min, 30 Sec Cooldown)","+141 [Agility or Intellect]
Use: Take a sip of the drink you swiped from the freight, increasing your Critical Strike by 617 for 15 sec. (1 Min, 30 Sec Cooldown)","+145 [Agility or Intellect]
Use: Take a sip of the drink you swiped from the freight, increasing your Critical Strike by 625 for 15 sec. (1 Min, 30 Sec Cooldown)","+150 [Agility or Intellect]
Use: Take a sip of the drink you swiped from the freight, increasing your Critical Strike by 636 for 15 sec. (1 Min, 30 Sec Cooldown)","+154 [Agility or Intellect]
Use: Take a sip of the drink you swiped from the freight, increasing your Critical Strike by 645 for 15 sec. (1 Min, 30 Sec Cooldown)","+159 [Agility or Intellect]
Use: Take a sip of the drink you swiped from the freight, increasing your Critical Strike by 653 for 15 sec. (1 Min, 30 Sec Cooldown)",https://www.wowhead.com/item=250215
Gilded Serpent's Tooth,159137,"55 - 92 Damage
Speed 1.80
(40.8 damage per second)
+419 Intellect
+1,397 Stamina
+39 Haste
+50 Versatility","56 - 95 Damage
Speed 1.80
(41.9 damage per second)
+431 Intellect
+1,448 Stamina
+39 Haste
+51 Versatility","58 - 97 Damage
Speed 1.80
(43.1 damage per second)
+443 Intellect
+1,501 Stamina
+40 Haste
+51 Versatility","60 - 101 Damage
Speed 1.80
(44.7 damage per second)
+460 Intellect
+1,572 Stamina
+40 Haste
+52 Versatility","62 - 104 Damage
Speed 1.80
(46.1 damage per second)
+473 Intellect
+1,627 Stamina
+41 Haste
+53 Versatility","64 - 107 Damage
Speed 1.80
(47.5 damage per second)
+486 Intellect
+1,684 Stamina
+41 Haste
+54 Versatility",https://www.wowhead.com/item=159137
Graft of the Domanaar,251234,"+1,572 Stamina
+218 Critical Strike
+121 Mastery","+1,629 Stamina
+223 Critical Strike
+124 Mastery","+1,689 Stamina
+227 Critical Strike
+126 Mastery","+1,768 Stamina
+233 Critical Strike
+129 Mastery","+1,830 Stamina
+237 Critical Strike
+132 Mastery","+1,895 Stamina
+242 Critical Strike
+134 Mastery",https://www.wowhead.com/item=251234
Handwraps of Blasphemous Rites,273780,"50 Armor
+108 Intellect
+2,096 Stamina
+87 Critical Strike
+47 Haste","51 Armor
+111 Intellect
+2,172 Stamina
+88 Critical Strike
+47 Haste","52 Armor
+114 Intellect
+2,252 Stamina
+89 Critical Strike
+48 Haste","53 Armor
+118 Intellect
+2,358 Stamina
+90 Critical Strike
+49 Haste","55 Armor
+122 Intellect
+2,440 Stamina
+92 Critical Strike
+49 Haste","56 Armor
+125 Intellect
+2,527 Stamina
+93 Critical Strike
+50 Haste",https://www.wowhead.com/item=273780
Handwraps of Oscillating Polarity,158352,"50 Armor
+108 Intellect
+2,096 Stamina
+61 Versatility
+72 Mastery","51 Armor
+111 Intellect
+2,172 Stamina
+62 Versatility
+73 Mastery","52 Armor
+114 Intellect
+2,252 Stamina
+63 Versatility
+74 Mastery","53 Armor
+118 Intellect
+2,358 Stamina
+64 Versatility
+76 Mastery","55 Armor
+122 Intellect
+2,440 Stamina
+64 Versatility
+77 Mastery","56 Armor
+125 Intellect
+2,527 Stamina
+65 Versatility
+78 Mastery",https://www.wowhead.com/item=158352
Headdress of the First Empire,159307,"66 Armor
+144 Intellect
+2,794 Stamina
+76 Critical Strike
+101 Haste","67 Armor
+148 Intellect
+2,896 Stamina
+77 Critical Strike
+103 Haste","69 Armor
+152 Intellect
+3,002 Stamina
+78 Critical Strike
+104 Haste","70 Armor
+158 Intellect
+3,143 Stamina
+80 Critical Strike
+106 Haste","72 Armor
+162 Intellect
+3,254 Stamina
+81 Critical Strike
+107 Haste","73 Armor
+167 Intellect
+3,369 Stamina
+82 Critical Strike
+109 Haste",https://www.wowhead.com/item=159307
Hoarded Harvest Wrap,251147,"88 Armor
+144 Intellect
+2,794 Stamina
+66 Haste
+112 Mastery","90 Armor
+148 Intellect
+2,896 Stamina
+67 Haste
+113 Mastery","92 Armor
+152 Intellect
+3,002 Stamina
+68 Haste
+115 Mastery","94 Armor
+158 Intellect
+3,143 Stamina
+69 Haste
+117 Mastery","96 Armor
+162 Intellect
+3,254 Stamina
+70 Haste
+118 Mastery","98 Armor
+167 Intellect
+3,369 Stamina
+71 Haste
+120 Mastery",https://www.wowhead.com/item=251147
Jade Ophidian Band,162544,"+1,572 Stamina
+126 Versatility
+213 Mastery
Prismatic Socket","+1,629 Stamina
+129 Versatility
+218 Mastery
Prismatic Socket","+1,689 Stamina
+131 Versatility
+222 Mastery
Prismatic Socket","+1,768 Stamina
+135 Versatility
+228 Mastery
Prismatic Socket","+1,830 Stamina
+137 Versatility
+232 Mastery
Prismatic Socket","+1,895 Stamina
+140 Versatility
+236 Mastery
Prismatic Socket",https://www.wowhead.com/item=162544
Knot of Writhing Serpents,273794,"+137 Intellect
Equip: Your harmful spells have a chance to ensorcell a serpent into spewing venom at your target, inflicting (12139 * 1) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%.
The primary target also suffers an additional (12139 * 1) Nature damage over 15 sec.","+141 Intellect
Equip: Your harmful spells have a chance to ensorcell a serpent into spewing venom at your target, inflicting (12684 * 1) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%.
The primary target also suffers an additional (12684 * 1) Nature damage over 15 sec.","+145 Intellect
Equip: Your harmful spells have a chance to ensorcell a serpent into spewing venom at your target, inflicting (13250 * 1) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%.
The primary target also suffers an additional (13250 * 1) Nature damage over 15 sec.","+150 Intellect
Equip: Your harmful spells have a chance to ensorcell a serpent into spewing venom at your target, inflicting (14039 * 1) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%.
The primary target also suffers an additional (14039 * 1) Nature damage over 15 sec.","+154 Intellect
Equip: Your harmful spells have a chance to ensorcell a serpent into spewing venom at your target, inflicting (14657 * 1) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%.
The primary target also suffers an additional (14657 * 1) Nature damage over 15 sec.","+159 Intellect
Equip: Your harmful spells have a chance to ensorcell a serpent into spewing venom at your target, inflicting (15299 * 1) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%.
The primary target also suffers an additional (15299 * 1) Nature damage over 15 sec.",https://www.wowhead.com/item=273794
Kokia's Burnout Rod,193771,"+419 Intellect
+1,397 Stamina
+50 Critical Strike
+39 Haste","+431 Intellect
+1,448 Stamina
+51 Critical Strike
+39 Haste","+443 Intellect
+1,501 Stamina
+51 Critical Strike
+40 Haste","+460 Intellect
+1,572 Stamina
+52 Critical Strike
+40 Haste","+473 Intellect
+1,627 Stamina
+53 Critical Strike
+41 Haste","+486 Intellect
+1,684 Stamina
+54 Critical Strike
+41 Haste",https://www.wowhead.com/item=193771
Kyrakka's Searing Embers,193748,"+127 Critical Strike
Equip: Your helpful spells and abilities have a high chance to create a Burning Ember on an ally. The ember flares up after 1 sec, cauterizing wounds to heal for 25493 and expelling 8086 Fire damage split between nearby enemies. (1s cooldown)","+128 Critical Strike
Equip: Your helpful spells and abilities have a high chance to create a Burning Ember on an ally. The ember flares up after 1 sec, cauterizing wounds to heal for 26279 and expelling 8335 Fire damage split between nearby enemies. (1s cooldown)","+130 Critical Strike
Equip: Your helpful spells and abilities have a high chance to create a Burning Ember on an ally. The ember flares up after 1 sec, cauterizing wounds to heal for 27089 and expelling 8592 Fire damage split between nearby enemies. (1s cooldown)","+133 Critical Strike
Equip: Your helpful spells and abilities have a high chance to create a Burning Ember on an ally. The ember flares up after 1 sec, cauterizing wounds to heal for 28208 and expelling 8947 Fire damage split between nearby enemies. (1s cooldown)","+134 Critical Strike
Equip: Your helpful spells and abilities have a high chance to create a Burning Ember on an ally. The ember flares up after 1 sec, cauterizing wounds to heal for 29078 and expelling 9223 Fire damage split between nearby enemies. (1s cooldown)","+136 Critical Strike
Equip: Your helpful spells and abilities have a high chance to create a Burning Ember on an ally. The ember flares up after 1 sec, cauterizing wounds to heal for 29973 and expelling 9507 Fire damage split between nearby enemies. (1s cooldown)",https://www.wowhead.com/item=193748
Leggings of Entwined Serpents,273782,"77 Armor
+144 Intellect
+2,794 Stamina
+104 Critical Strike
+74 Haste","79 Armor
+148 Intellect
+2,896 Stamina
+105 Critical Strike
+75 Haste","80 Armor
+152 Intellect
+3,002 Stamina
+107 Critical Strike
+76 Haste","82 Armor
+158 Intellect
+3,143 Stamina
+109 Critical Strike
+77 Haste","84 Armor
+162 Intellect
+3,254 Stamina
+110 Critical Strike
+78 Haste","85 Armor
+167 Intellect
+3,369 Stamina
+112 Critical Strike
+79 Haste",https://www.wowhead.com/item=273782
Lightblossom Cinch,251191,"50 Armor
+108 Intellect
+2,096 Stamina
+49 Critical Strike
+84 Versatility","51 Armor
+111 Intellect
+2,172 Stamina
+50 Critical Strike
+85 Versatility","52 Armor
+114 Intellect
+2,252 Stamina
+51 Critical Strike
+86 Versatility","53 Armor
+118 Intellect
+2,358 Stamina
+52 Critical Strike
+87 Versatility","55 Armor
+122 Intellect
+2,440 Stamina
+52 Critical Strike
+89 Versatility","56 Armor
+125 Intellect
+2,527 Stamina
+53 Critical Strike
+90 Versatility",https://www.wowhead.com/item=251191
Lightspire Core,250214,"+137 [Agility or Intellect]
Equip: You are embraced by the Light, increasing Mastery by 101.
Your damaging spells and abilities can call a beam of radiant light nearby. Standing in the light blesses you with 177 Mastery while you stand in it.
""""Stand in the Light, and be made whole.""""","+141 [Agility or Intellect]
Equip: You are embraced by the Light, increasing Mastery by 103.
Your damaging spells and abilities can call a beam of radiant light nearby. Standing in the light blesses you with 179 Mastery while you stand in it.
""""Stand in the Light, and be made whole.""""","+145 [Agility or Intellect]
Equip: You are embraced by the Light, increasing Mastery by 104.
Your damaging spells and abilities can call a beam of radiant light nearby. Standing in the light blesses you with 182 Mastery while you stand in it.
""""Stand in the Light, and be made whole.""""","+150 [Agility or Intellect]
Equip: You are embraced by the Light, increasing Mastery by 106.
Your damaging spells and abilities can call a beam of radiant light nearby. Standing in the light blesses you with 185 Mastery while you stand in it.
""""Stand in the Light, and be made whole.""""","+154 [Agility or Intellect]
Equip: You are embraced by the Light, increasing Mastery by 107.
Your damaging spells and abilities can call a beam of radiant light nearby. Standing in the light blesses you with 188 Mastery while you stand in it.
""""Stand in the Light, and be made whole.""""","+159 [Agility or Intellect]
Equip: You are embraced by the Light, increasing Mastery by 109.
Your damaging spells and abilities can call a beam of radiant light nearby. Standing in the light blesses you with 190 Mastery while you stand in it.
""""Stand in the Light, and be made whole.""""",https://www.wowhead.com/item=250214
Lightwarden's Bind,251194,"+1,572 Stamina
+112 Versatility
+228 Mastery","+1,629 Stamina
+114 Versatility
+232 Mastery","+1,689 Stamina
+116 Versatility
+237 Mastery","+1,768 Stamina
+119 Versatility
+243 Mastery","+1,830 Stamina
+121 Versatility
+248 Mastery","+1,895 Stamina
+123 Versatility
+252 Mastery",https://www.wowhead.com/item=251194
Luminescent Sprout,251200,"+419 Intellect
+1,397 Stamina
+54 Versatility
+35 Mastery","+431 Intellect
+1,448 Stamina
+55 Versatility
+35 Mastery","+443 Intellect
+1,501 Stamina
+55 Versatility
+36 Mastery","+460 Intellect
+1,572 Stamina
+56 Versatility
+36 Mastery","+473 Intellect
+1,627 Stamina
+57 Versatility
+37 Mastery","+486 Intellect
+1,684 Stamina
+58 Versatility
+37 Mastery",https://www.wowhead.com/item=251200
Mantle of Ceremonial Ascension,159309,"61 Armor
+108 Intellect
+2,096 Stamina
+75 Versatility
+58 Mastery","62 Armor
+111 Intellect
+2,172 Stamina
+76 Versatility
+59 Mastery","63 Armor
+114 Intellect
+2,252 Stamina
+77 Versatility
+60 Mastery","65 Armor
+118 Intellect
+2,358 Stamina
+79 Versatility
+61 Mastery","66 Armor
+122 Intellect
+2,440 Stamina
+80 Versatility
+61 Mastery","67 Armor
+125 Intellect
+2,527 Stamina
+81 Versatility
+62 Mastery",https://www.wowhead.com/item=159309
Mindpiercer's Sigil,250224,"Equip: Your damaging spells have a chance to stir the Void near your target, erupting for 48745 Shadow damage split among nearby enemies. You siphon energy from the Void, gaining 428 Intellect for 10 sec.","Equip: Your damaging spells have a chance to stir the Void near your target, erupting for 50933 Shadow damage split among nearby enemies. You siphon energy from the Void, gaining 440 Intellect for 10 sec.","Equip: Your damaging spells have a chance to stir the Void near your target, erupting for 53206 Shadow damage split among nearby enemies. You siphon energy from the Void, gaining 453 Intellect for 10 sec.","Equip: Your damaging spells have a chance to stir the Void near your target, erupting for 56374 Shadow damage split among nearby enemies. You siphon energy from the Void, gaining 470 Intellect for 10 sec.","Equip: Your damaging spells have a chance to stir the Void near your target, erupting for 58857 Shadow damage split among nearby enemies. You siphon energy from the Void, gaining 483 Intellect for 10 sec.","Equip: Your damaging spells have a chance to stir the Void near your target, erupting for 61435 Shadow damage split among nearby enemies. You siphon energy from the Void, gaining 497 Intellect for 10 sec.",https://www.wowhead.com/item=250224
